"Back-end Developer | Php","Middle","1 - 3 Yıl","Startup","Ankara","3.000 TL - 4.000 TL"
"Mobile Developer | iOS","Senior","3 - 5 Yıl","Outsource","İstanbul","5.000 TL - 7.500 TL"
"Back-end Developer | .Net","Middle","1 - 3 Yıl","Kurumsal","İstanbul","3.000 TL - 4.000 TL"
"Front-end Developer","Junior","1 - 3 Yıl","Startup","İstanbul","2.000 TL - 3.000 TL"
"Front-end Developer","Middle","1 - 3 Yıl","Startup","İstanbul","4.000 TL - 5.000 TL"
"Software Development Team Lead","Senior","10+","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Middle","5 - 7 Yıl","Startup","İstanbul","3.000 TL - 4.000 TL"
"Front-end Developer","Middle","1 - 3 Yıl","E-Ticaret","Bursa","2.000 TL ve aşağısı"
"Software Development Team Lead","Senior","10+","Kurumsal","İstanbul","7.500 TL - 10.000 TL"
"Mobile Developer | Android","Junior","1 - 3 Yıl","Kurumsal","İzmir","2.000 TL ve aşağısı"
"Mobile Developer | iOS","Senior","3 - 5 Yıl","Dijital / Reklam Ajansı","Antalya","15.000 TL ve üzeri"
"Software Development Team Lead","Senior","10+","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Mobile Developer | Android","Senior","3 - 5 Yıl","Outsource","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | Php","Middle","10+","Startup","İstanbul","5.000 TL - 7.500 TL"
"Mobile Developer | iOS","Junior","0 - 1 Yıl","Startup","İstanbul","2.000 TL - 3.000 TL"
"Mobile Developer | iOS","Senior","5 - 7 Yıl","Startup","İstanbul","7.500 TL - 10.000 TL"
"Back-end Developer | .Net","Middle","3 - 5 Yıl","E-Ticaret","İstanbul","4.000 TL - 5.000 TL"
"Back-end Developer | .Net","Junior","1 - 3 Yıl","Kurumsal","İstanbul","3.000 TL - 4.000 TL"
"Full Stack Developer","Senior","10+","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Full Stack Developer","Middle","3 - 5 Yıl","Kurumsal","İstanbul","4.000 TL - 5.000 TL"
"Back-end Developer | Java","Junior","1 - 3 Yıl","Kurumsal","Ankara","4.000 TL - 5.000 TL"
"Front-end Developer","Senior","3 - 5 Yıl","Outsource","İzmir","5.000 TL - 7.500 TL"
"Full Stack Developer","Middle","5 - 7 Yıl","Kurumsal","İstanbul","2.000 TL - 3.000 TL"
"Back-end Developer | .Net","Junior","5 - 7 Yıl","Kurumsal","Konya","5.000 TL - 7.500 TL"
"Software Development Team Lead","Junior","0 - 1 Yıl","Startup","İstanbul","3.000 TL - 4.000 TL"
"Mobile Developer | iOS","Junior","1 - 3 Yıl","Startup","İstanbul","3.000 TL - 4.000 TL"
"Back-end Developer | Java","Junior","0 - 1 Yıl","Startup","İstanbul","5.000 TL - 7.500 TL"
"Front-end Developer","Junior","0 - 1 Yıl","Startup","Ankara","2.000 TL - 3.000 TL"
"Test & Automation Engineer","Middle","1 - 3 Yıl","Outsource","İstanbul","4.000 TL - 5.000 TL"
"Back-end Developer | Java","Junior","0 - 1 Yıl","Kurumsal","İstanbul","2.000 TL - 3.000 TL"
"SAP & ABAP Developer","Senior","10+","Kurumsal","İstanbul","10.000 TL - 12.500 TL"
"Back-end Developer | .Net","Middle","3 - 5 Yıl","Kurumsal","İstanbul","5.000 TL - 7.500 TL"
"Software Architect","Middle","3 - 5 Yıl","E-Ticaret","Ankara","15.000 TL ve üzeri"
